german,article,plural,english,vietnamese,example,note
Name,der,die Namen,name,tên,Mein Name ist Anna.,01_personal
Alter,das,die Alter,age,tuổi,Das Alter ist nicht wichtig.,01_personal
Land,das,die Länder,country,đất nước,Mein Land ist Vietnam.,01_personal
Sprache,die,die Sprachen,language,ngôn ngữ,Ich spreche drei Sprachen.,01_personal
Frage,die,die Fragen,question,câu hỏi,Ich habe eine Frage.,01_personal
Antwort,die,die Antworten,answer,câu trả lời,Die Antwort ist richtig.,01_personal
Buchstabe,der,die Buchstaben,letter (alphabet),chữ cái,Das Wort hat fünf Buchstaben.,01_personal
Adresse,die,die Adressen,address,địa chỉ,Wie ist deine Adresse?,01_personal
Telefonnummer,die,die Telefonnummern,phone number,số điện thoại,Das ist meine Telefonnummer.,01_personal
Herr,der,die Herren,Mr / gentleman,ông,Der Herr heißt Müller.,01_personal
Frau,die,die Frauen,Mrs / woman,bà / phụ nữ,Die Frau heißt Schmidt.,01_personal
Nationalität,die,die Nationalitäten,nationality,quốc tịch,Meine Nationalität ist vietnamesisch.,01_personal
Wort,das,die Wörter,word,từ,Ich lerne heute ein Wort.,01_personal
Satz,der,die Sätze,sentence,câu,Bitte schreib einen Satz.,01_personal
heißen,,,to be called,tên là,Ich heiße Anna.,01_personal
sein,,,to be,thì / là,Ich bin Student.,01_personal
kommen,,,to come,đến,Ich komme aus Vietnam.,01_personal
wohnen,,,to live (reside),sống,Ich wohne in Berlin.,01_personal
sprechen,,,to speak,nói,Ich spreche Deutsch.,01_personal
buchstabieren,,,to spell,đánh vần,Kannst du das buchstabieren?,01_personal
fragen,,,to ask,hỏi,Darf ich fragen?,01_personal
antworten,,,to answer,trả lời,Bitte antworte schnell.,01_personal
sagen,,,to say,nói,Was sagst du?,01_personal
verstehen,,,to understand,hiểu,Ich verstehe das nicht.,01_personal
wiederholen,,,to repeat,lặp lại,Kannst du das wiederholen?,01_personal
schreiben,,,to write,viết,Ich schreibe meinen Namen.,01_personal
lesen,,,to read,đọc,Ich lese ein Buch.,01_personal
hören,,,to hear / listen,nghe,Ich höre gut zu.,01_personal
lernen,,,to learn,học,Ich lerne Deutsch.,01_personal
üben,,,to practice,luyện tập,Wir üben jeden Tag.,01_personal
danken,,,to thank,cảm ơn,Ich danke dir sehr.,01_personal
grüßen,,,to greet,chào,Ich grüße meinen Lehrer.,01_personal
wie,,,how,thế nào,Wie heißt du?,01_personal
was,,,what,cái gì,Was ist das?,01_personal
wer,,,who,ai,Wer bist du?,01_personal
wo,,,where,ở đâu,Wo wohnst du?,01_personal
woher,,,from where,từ đâu,Woher kommst du?,01_personal
wann,,,when,khi nào,Wann kommst du?,01_personal
warum,,,why,tại sao,Warum lernst du Deutsch?,01_personal
bitte,,,please,xin vui lòng,"Ein Kaffee, bitte.",01_personal
danke,,,thanks,cảm ơn,Danke für die Hilfe.,01_personal
ja,,,yes,vâng,"Ja, das stimmt.",01_personal
nein,,,no,không,"Nein, das ist falsch.",01_personal
hallo,,,hello,xin chào,"Hallo, wie geht es dir?",01_personal
tschüss,,,bye,tạm biệt,"Tschüss, bis morgen!",01_personal
auch,,,also / too,cũng,Ich komme auch aus Asien.,01_personal
sehr,,,very,rất,Das ist sehr gut.,01_personal
Familie,die,die Familien,family,gia đình,Meine Familie ist groß.,02_family
Vater,der,die Väter,father,cha / bố,Mein Vater arbeitet viel.,02_family
Mutter,die,die Mütter,mother,mẹ,Meine Mutter kocht gern.,02_family
Sohn,der,die Söhne,son,con trai,Der Sohn spielt Fußball.,02_family
Tochter,die,die Töchter,daughter,con gái,Die Tochter lernt Deutsch.,02_family
Bruder,der,die Brüder,brother,anh / em trai,Mein Bruder ist jung.,02_family
Schwester,die,die Schwestern,sister,chị / em gái,Meine Schwester wohnt hier.,02_family
Kind,das,die Kinder,child,đứa trẻ,Das Kind spielt im Garten.,02_family
Eltern,die,die Eltern,parents,cha mẹ,Meine Eltern wohnen in Hanoi.,02_family
Großvater,der,die Großväter,grandfather,ông,Mein Großvater ist alt.,02_family
Großmutter,die,die Großmütter,grandmother,bà,Meine Großmutter kocht sehr gut.,02_family
Onkel,der,die Onkel,uncle,chú / bác,Mein Onkel wohnt in Berlin.,02_family
Tante,die,die Tanten,aunt,cô / dì,Meine Tante ist Lehrerin.,02_family
Mann,der,die Männer,man / husband,đàn ông / chồng,Der Mann heißt Peter.,02_family
Freund,der,die Freunde,friend (male),bạn trai / bạn nam,Mein Freund heißt Tom.,02_family
Freundin,die,die Freundinnen,friend (female),bạn gái / bạn nữ,Meine Freundin heißt Lisa.,02_family
Ehe,die,die Ehen,marriage,hôn nhân,Die Ehe ist glücklich.,02_family
Baby,das,die Babys,baby,em bé,Das Baby schläft jetzt.,02_family
Person,die,die Personen,person,người,Diese Person ist nett.,02_family
Nachbar,der,die Nachbarn,neighbor,hàng xóm,Mein Nachbar ist freundlich.,02_family
verheiratet,,,married,đã kết hôn,Ich bin verheiratet.,02_family
ledig,,,single (unmarried),độc thân,Er ist noch ledig.,02_family
geschieden,,,divorced,đã ly hôn,Sie ist geschieden.,02_family
jung,,,young,trẻ,Meine Schwester ist jung.,02_family
alt,,,old,già,Mein Großvater ist alt.,02_family
verwitwet,,,widowed,góa,Meine Oma ist verwitwet.,02_family
heiraten,,,to marry,kết hôn,Sie heiraten im Sommer.,02_family
lieben,,,to love,yêu,Ich liebe meine Familie.,02_family
haben,,,to have,có,Ich habe zwei Brüder.,02_family
leben,,,to live (be alive),sống,Meine Großeltern leben noch.,02_family
besuchen,,,to visit,thăm,Ich besuche meine Eltern.,02_family
