german,article,plural,english,vietnamese,example,note
und,,,and,và,Ich trinke Kaffee und esse ein Brötchen.,t2_connectors
aber,,,but,nhưng,"Ich mag Kaffee, aber ich trinke lieber Tee.",t2_connectors
oder,,,or,hoặc,Möchtest du Tee oder Kaffee?,t2_connectors
denn,,,because,vì,"Ich bleibe zu Hause, denn ich bin krank.",t2_connectors
weil,,,because,bởi vì,"Ich bleibe zu Hause, weil ich krank bin.",t2_connectors
dass,,,that,rằng,"Ich glaube, dass er nett ist.",t2_connectors
wenn,,,if / when,nếu / khi,"Wenn es regnet, bleibe ich zu Hause.",t2_connectors
deshalb,,,therefore,vì vậy,"Es regnet, deshalb bleibe ich zu Hause.",t2_connectors
deswegen,,,for that reason,vì thế,"Ich bin krank, deswegen komme ich nicht.",t2_connectors
trotzdem,,,nevertheless,dù vậy,"Es regnet, trotzdem gehe ich raus.",t2_connectors
dennoch,,,nevertheless,tuy nhiên,"Er ist müde, dennoch arbeitet er weiter.",t2_connectors
also,,,so / therefore,vậy nên,"Es ist spät, also gehe ich schlafen.",t2_connectors
dann,,,then,sau đó,"Ich dusche, dann frühstücke ich.",t2_connectors
danach,,,after that,sau đó,"Ich esse, danach gehe ich zur Arbeit.",t2_connectors
zum Schluss,,,finally / in the end,cuối cùng,Zum Schluss trinken wir noch einen Kaffee.,t2_connectors
zunächst,,,first of all,trước tiên hết,Zunächst lese ich die Frage.,t2_connectors
erstens,,,firstly,thứ nhất,Erstens ist es zu teuer.,t2_connectors
zweitens,,,secondly,thứ hai,Zweitens habe ich keine Zeit.,t2_connectors
drittens,,,thirdly,thứ ba,Drittens gefällt mir die Farbe nicht.,t2_connectors
schließlich,,,finally,cuối cùng,Schließlich habe ich die Antwort gefunden.,t2_connectors
außerdem,,,besides / moreover,ngoài ra,"Das Zimmer ist klein, außerdem ist es laut.",t2_connectors
sondern,,,but rather,mà là,"Ich trinke keinen Kaffee, sondern Tee.",t2_connectors
obwohl,,,although,mặc dù,"Obwohl es regnet, gehe ich spazieren.",t2_connectors
während,,,while,trong khi,"Während ich koche, hört sie Musik.",t2_connectors
bevor,,,before,trước khi,"Bevor ich schlafe, lese ich noch.",t2_connectors
sonst,,,otherwise,nếu không thì,"Beeil dich, sonst kommen wir zu spät.",t2_connectors
übrigens,,,by the way,nhân tiện,"Übrigens, das Essen war lecker.",t2_connectors
jedoch,,,however,tuy nhiên,"Der Kurs ist schwer, jedoch macht er Spaß.",t2_connectors
allerdings,,,however,tuy vậy,"Das Hotel ist teuer, allerdings ist es sehr gut.",t2_connectors
einerseits,,,on one hand,một mặt,Einerseits mag ich die Stadt.,t2_connectors
andererseits,,,on the other hand,mặt khác,Andererseits ist sie sehr laut.,t2_connectors
zum Beispiel,,,for example,ví dụ,"Ich esse gern Obst, zum Beispiel Äpfel.",t2_connectors
das heißt,,,that means,nghĩa là,"Ich habe frei, das heißt, ich kann schlafen.",t2_connectors
nämlich,,,namely,cụ thể là,"Ich komme später, ich arbeite nämlich noch.",t2_connectors
entweder oder,,,either or,hoặc là hoặc là,Wir fahren entweder mit dem Bus oder mit dem Zug.,t2_connectors
genauso wie,,,just like,giống như,Er kocht genauso wie seine Mutter.,t2_connectors
anschließend,,,afterward / subsequently,sau đó,"Wir essen, anschließend gehen wir ins Kino.",t2_connectors
zuletzt,,,lastly,cuối cùng,Zuletzt räumen wir die Küche auf.,t2_connectors
vor allem,,,above all,trên hết,"Ich mag Obst, vor allem Äpfel.",t2_connectors
besonders,,,especially,đặc biệt,Ich mag besonders Musik.,t2_connectors
außer,,,except,trừ,Alle kommen außer Peter.,t2_connectors
sowie,,,as well as,cũng như,Ich kaufe Brot sowie Milch.,t2_connectors
insgesamt,,,overall,nhìn chung,Insgesamt war der Kurs gut.,t2_connectors
kurzum,,,in short,tóm lại,"Kurzum, der Plan war gut.",t2_connectors
immerhin,,,at least / still,dù sao,Immerhin haben wir es versucht.,t2_connectors
ich kann,,,I can,tôi có thể,Ich kann gut kochen.,t2_modals
du kannst,,,you can,bạn có thể,Du kannst mir helfen.,t2_modals
er kann,,,he can,anh ấy có thể,Er kann sehr schnell laufen.,t2_modals
wir können,,,we can,chúng tôi có thể,Wir können morgen kommen.,t2_modals
ihr könnt,,,you all can,các bạn có thể,Ihr könnt hier warten.,t2_modals
sie können,,,they / you (formal) can,họ có thể,Sie können das Formular hier abgeben.,t2_modals
ich muss,,,I must / have to,tôi phải,Ich muss jetzt gehen.,t2_modals
du musst,,,you must,bạn phải,Du musst pünktlich sein.,t2_modals
er muss,,,he must,anh ấy phải,Er muss heute arbeiten.,t2_modals
wir müssen,,,we must,chúng tôi phải,Wir müssen den Bus nehmen.,t2_modals
ihr müsst,,,you all must,các bạn phải,Ihr müsst die Aufgabe machen.,t2_modals
sie müssen,,,they / you (formal) must,họ phải,Sie müssen das Ticket zeigen.,t2_modals
ich will,,,I want to,tôi muốn,Ich will nach Hause gehen.,t2_modals
